longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value_k
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177.5
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102.1
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108.3
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112.5
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,131.3
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,162.5
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,112.5
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112.5
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,137.5
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,118.8
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,98.2
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118.8
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,162.5
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,137.5
-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,500.001
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,162.5
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137.5
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,162.5
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,187.5
-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,179.2
-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130
-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183.8
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,125
-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170
-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193.1
-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257.8
-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273.4
-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,237.5
-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,350
-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335.7
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313.4
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268.5
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,259.4
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,275.7
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,225
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,262.5
-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218.5
-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,224.1
-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,243.1
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,231.6
-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,218.5
-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,234.1
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,327.6
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,347.6
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,366.1
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,335
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373.6
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,389.5
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,391.1
-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,337.3
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295.2
-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,292.3
-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,411.5
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,311.5
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,325.9
-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,392.6
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,319.3
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,333.3
-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,335.2
-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,351.2
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,368.9
-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,365.9
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,366.7
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,362.8
-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,483.3
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331.4
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,323.5
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216.7
-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,233.1
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,296.4
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,273.7
-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,227.7
-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,199.6
-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,239.8
-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,270.1
-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,302.1
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,269.5
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,314.7
-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,390.1
-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,410.3
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,352.4
-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,287.3
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,348.7
-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,243.8
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,211.5
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,218.4
-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,269.9
-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,218.8
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,225
-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,250
-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,171.4
-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,193.8
-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,125
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,97.5
-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,125
-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,138.8
-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,116.7
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,151.8
-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,127
-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,128.6
-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,140.6
-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,182.7
-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,146.9
-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,122.8
-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,169.3
-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,126.6
-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,127.9
-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,123.5
-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,111.9
-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112.8
-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,107.9
-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,137.5
-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,105.5
-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,95.5
-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,116.1
-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,112.2
-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,75
-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,112.5
-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,125
-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,115
-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,95
-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,96.4
-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,72
-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,71.3
-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,80.8
-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,128.8
-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,112.5
-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,119.4
-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,118.1
-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,122.5
-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,106.3
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,132.5
-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,122.7
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,113.3
-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,109.5
-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,164.7
-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,125
-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,124.7
-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,136.7
-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,141.7
-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,150
-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,138.8
-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,139.2
-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,143.8
-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,156.5
-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,151
-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,273
-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,217.1
-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,187.1
-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,239.6
-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,229.7
-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,257.3
-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,246.9
-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,179.9
-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,169.6
-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,203.3
-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,263.4
-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,231.8
-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,140.5
-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,126
-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,122
-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.619,134.7
-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,139.4
-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,115.4
-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,137.3
-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,137
-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,142.6
-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,137.5
-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,111.7
-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,126.8
-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625,111.3
-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015,114.8
-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,102.3
-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,131.9
-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,119.1
-122.21,37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546,80.6
-122.21,37.77,52.0,591.0,173.0,353.0,137.0,4.0904,80.6
-122.21,37.77,52.0,745.0,153.0,473.0,149.0,2.6765,88.8
-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338,102.4
-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309,98.7
-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,100
-122.19,37.77,42.0,932.0,254.0,900.0,263.0,1.8039,92.3
-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,94.8
-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562,102
-122.2,37.78,52.0,2300.0,443.0,1225.0,423.0,3.5398,158.4
-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,121.6
-122.2,37.78,50.0,1867.0,403.0,1128.0,378.0,2.5401,129.1
-122.2,37.77,43.0,2430.0,502.0,1537.0,484.0,2.898,121.4
-122.21,37.78,44.0,1729.0,414.0,1240.0,393.0,2.3125,102.8
-122.19,37.78,52.0,1026.0,180.0,469.0,168.0,2.875,160
-122.19,37.77,52.0,2170.0,428.0,1086.0,425.0,3.3715,143.9
-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,151.2
-122.19,37.78,52.0,2492.0,415.0,1109.0,375.0,4.3125,164.4
-122.19,37.78,52.0,2198.0,397.0,984.0,369.0,3.22,156.5
-122.18,37.78,33.0,142.0,31.0,575.0,47.0,3.875,225
-122.19,37.78,49.0,1183.0,205.0,496.0,209.0,5.2328,174.2
-122.19,37.78,52.0,1070.0,193.0,555.0,190.0,3.7262,166.9
-122.2,37.78,45.0,1766.0,332.0,869.0,327.0,4.5893,163.5
-122.18,37.79,39.0,617.0,95.0,236.0,106.0,5.2578,253
-122.18,37.79,41.0,1411.0,233.0,626.0,214.0,7.0875,240.7
-122.18,37.79,46.0,2109.0,387.0,922.0,329.0,3.9712,208.1
-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,2.9514,198.1
-122.19,37.79,50.0,954.0,217.0,546.0,201.0,2.6667,172.8
-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,5.4446,336.7
-122.18,37.8,34.0,1355.0,195.0,442.0,195.0,6.2838,318.2
-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,6.7527,285.8
-122.13,37.77,24.0,2459.0,317.0,916.0,324.0,7.0712,293
-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,5.9849,371
-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,3.6875,157.3
-122.17,37.77,30.0,3326.0,746.0,1704.0,703.0,2.875,135.3
-122.18,37.78,43.0,1985.0,440.0,1085.0,407.0,3.4205,136.7
-122.18,37.78,50.0,1642.0,322.0,713.0,284.0,3.2984,160.7
-122.17,37.78,49.0,893.0,177.0,468.0,181.0,3.875,140.6
-122.17,37.78,52.0,653.0,128.0,296.0,121.0,4.175,144
-122.16,37.77,48.0,977.0,194.0,446.0,180.0,4.7708,156.3
-122.16,37.77,45.0,2324.0,397.0,968.0,384.0,3.5739,176
-122.16,37.77,39.0,1583.0,349.0,857.0,316.0,3.0958,145.8
-122.17,37.77,39.0,1612.0,342.0,912.0,322.0,3.3958,141.9
-122.17,37.77,31.0,2424.0,533.0,1360.0,452.0,1.871,90.7
-122.17,37.76,41.0,1594.0,367.0,1074.0,355.0,1.9356,90.6
-122.17,37.76,47.0,2118.0,413.0,965.0,382.0,2.1842,107.9
-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,2.2917,107
-122.17,37.76,38.0,1764.0,397.0,987.0,354.0,2.4333,98.2
-122.18,37.76,50.0,1187.0,261.0,907.0,246.0,1.9479,89.5
-122.18,37.76,52.0,754.0,175.0,447.0,165.0,3.9063,93.8
-122.18,37.76,49.0,2308.0,452.0,1299.0,451.0,1.8407,96.7
-122.18,37.77,27.0,909.0,236.0,396.0,157.0,2.0786,97.5
-122.18,37.77,42.0,1180.0,257.0,877.0,268.0,2.8125,97.3
-122.18,37.76,43.0,2018.0,408.0,1111.0,367.0,1.8913,91.2
-122.19,37.76,49.0,1368.0,282.0,790.0,269.0,1.7056,91.4
-122.18,37.77,52.0,2744.0,547.0,1479.0,554.0,2.2768,96.2
-122.18,37.77,51.0,2107.0,471.0,1173.0,438.0,3.2552,120.1
-122.18,37.77,52.0,1748.0,362.0,1029.0,366.0,2.0556,100
-122.19,37.76,52.0,2024.0,391.0,1030.0,350.0,2.4659,94.7
-122.2,37.76,47.0,1116.0,259.0,826.0,279.0,1.75,85.7
-122.19,37.77,41.0,2036.0,510.0,1412.0,454.0,2.0469,89.3
-122.19,37.77,45.0,1852.0,393.0,1132.0,349.0,2.7159,101.4
-122.19,37.76,41.0,921.0,207.0,522.0,159.0,1.2083,72.5
-122.19,37.76,45.0,995.0,238.0,630.0,237.0,1.925,74.1
-122.2,37.75,36.0,606.0,132.0,531.0,133.0,1.5809,70
-122.2,37.76,37.0,2680.0,736.0,1925.0,667.0,1.4097,84.6
-122.19,37.76,38.0,1493.0,370.0,1144.0,351.0,0.7683,81.8
-122.19,37.75,19.0,2207.0,565.0,1481.0,520.0,1.3194,81.4
-122.19,37.75,28.0,856.0,189.0,435.0,162.0,0.8012,81.8
-122.19,37.76,26.0,1293.0,297.0,984.0,303.0,1.9479,85.8
-122.19,37.74,36.0,847.0,212.0,567.0,159.0,1.1765,87.1
-122.18,37.74,42.0,541.0,154.0,380.0,123.0,2.3456,83.5
-122.19,37.73,44.0,1066.0,253.0,825.0,244.0,2.1538,79.7
-122.19,37.74,43.0,707.0,147.0,417.0,155.0,2.5139,83.4
-122.19,37.73,45.0,1528.0,291.0,801.0,287.0,1.2625,84.7
-122.18,37.73,42.0,909.0,215.0,646.0,198.0,2.9063,80
-122.18,37.73,43.0,1391.0,293.0,855.0,285.0,2.5192,76.4
-122.18,37.73,44.0,548.0,119.0,435.0,136.0,2.1111,79.7
-122.18,37.73,42.0,4074.0,874.0,2736.0,780.0,2.455,82.4
-122.17,37.74,41.0,1613.0,445.0,1481.0,414.0,2.4028,97.7
-122.17,37.74,47.0,463.0,134.0,327.0,137.0,2.15,97.2
-122.17,37.74,43.0,818.0,193.0,494.0,179.0,2.4776,101.6
-122.17,37.73,43.0,1473.0,371.0,1231.0,341.0,2.1587,86.5
-122.18,37.74,35.0,504.0,126.0,323.0,109.0,1.8438,90.5
-122.17,37.74,46.0,1026.0,226.0,749.0,225.0,3.0298,107.6
-122.17,37.74,46.0,769.0,183.0,693.0,178.0,2.25,84.2
-122.18,37.74,46.0,2103.0,391.0,1339.0,354.0,2.2467,88.9
-122.18,37.75,45.0,330.0,76.0,282.0,80.0,4.0469,80.7
-122.18,37.75,46.0,941.0,218.0,621.0,195.0,1.325,87.1
-122.18,37.75,45.0,990.0,261.0,901.0,260.0,2.1731,82
-122.19,37.75,36.0,1126.0,263.0,482.0,150.0,1.9167,82.8
-122.18,37.75,43.0,1036.0,233.0,652.0,213.0,2.069,84.6
-122.18,37.75,36.0,1047.0,214.0,651.0,166.0,1.712,82.1
-122.17,37.76,33.0,1280.0,307.0,999.0,286.0,2.5625,89.3
-122.17,37.75,43.0,1587.0,320.0,907.0,306.0,1.9821,98.3
-122.17,37.75,41.0,1257.0,271.0,828.0,230.0,2.5043,92.3
-122.17,37.75,44.0,1218.0,248.0,763.0,254.0,2.3281,88.8
-122.17,37.75,48.0,1751.0,390.0,935.0,349.0,1.4375,90
-122.16,37.76,45.0,2299.0,514.0,1437.0,484.0,2.5122,95.5
-122.16,37.75,38.0,2457.0,624.0,1516.0,482.0,1.5625,91.7
-122.17,37.75,47.0,998.0,211.0,597.0,185.0,3.1587,100.4
-122.17,37.76,40.0,1685.0,343.0,949.0,342.0,1.8426,94.8
-122.16,37.76,46.0,1827.0,307.0,881.0,302.0,4.6696,164.3
-122.16,37.76,36.0,2781.0,574.0,1438.0,519.0,2.4598,155.5
-122.15,37.76,39.0,1823.0,286.0,763.0,270.0,6.0749,196.9
-122.14,37.77,27.0,2229.0,365.0,1297.0,355.0,4.8304,279.1
-122.14,37.76,34.0,1513.0,231.0,545.0,211.0,5.5701,252.8
