x,y,group
8.1657,7.5427,background
1.0528,8.1981,background
0.6656,5.2606,background
5.9443,9.9668,background
1.4617,0.4418,background
8.2466,4.0126,background
3.1033,3.2394,background
1.4387,9.4865,background
9.2097,5.7686,background
1.6553,8.0619,background
2.8472,1.7034,background
1.5361,9.7863,background
1.1549,4.9864,background
0.2115,4.9367,background
0.554,9.7088,background
1.7464,3.8073,background
0.5338,3.9753,background
5.9114,5.8475,background
6.8071,1.2805,background
3.9363,3.2109,background
3.1799,1.9321,background
5.0453,1.0328,background
8.75,8.6614,background
8.5113,5.8933,background
0.4348,3.5867,background
1.815,4.0867,background
2.3674,4.3152,background
2.4939,6.3315,background
5.7123,9.2677,background
4.1626,9.3278,background
0.4925,3.9149,background
3.7361,3.2926,background
5.2375,4.5105,background
1.0167,5.6793,background
8.3346,4.6182,background
0.5196,6.5875,background
9.2484,5.544,background
0.9911,3.2072,background
8.4357,3.4573,background
9.0265,3.7859,background
9.7957,0.9464,background
8.0203,1.6606,background
7.7948,7.2311,background
6.4248,3.891,background
7.79,2.1454,background
1.3455,5.6267,background
5.3607,7.5554,background
5.1422,2.5742,background
8.5757,8.2679,background
4.628,9.275,background
3.8509,5.9739,background
6.3956,6.6895,background
2.6646,0.5258,background
1.3977,9.4552,background
4.7788,3.9248,background
4.1689,9.239,background
2.3257,5.7898,background
3.6751,0.0462,background
3.6639,0.3854,background
3.275,6.8042,background
3.7946,5.6267,background
6.8574,0.2653,background
2.9688,7.4346,background
9.4886,8.5215,background
9.1635,4.9642,background
4.8091,4.6576,background
3.2836,0.0547,background
5.3543,7.8665,background
8.4856,3.3072,background
6.5259,8.7876,background
8.0439,3.7306,background
5.3272,5.6508,background
6.3292,2.7034,background
2.8816,1.6059,background
7.3489,7.7491,background
2.024,4.9659,background
6.948,5.3649,background
8.6072,9.6542,background
1.321,9.6358,background
6.1438,8.5564,background
0.951,1.8761,background
7.2572,5.9427,background
0.8449,8.7815,background
9.3594,3.7446,background
1.3741,1.0111,background
9.5888,8.1096,background
8.0088,4.8176,background
5.9368,5.6439,background
7.8262,9.8214,background
7.9511,6.0721,background
9.4603,4.2498,background
2.5338,3.6998,background
5.9008,4.1762,background
0.9505,1.184,background
6.1617,7.9475,background
1.7129,8.3772,background
5.6495,2.844,background
5.7243,3.038,background
4.6599,8.7433,background
5.2263,0.2397,background
7.6392,5.2046,background
7.9924,4.6368,background
4.9215,6.9013,background
5.9959,1.6339,background
9.3124,6.6833,background
1.1973,3.7673,background
1.171,6.1871,background
0.8771,0.401,background
6.5786,4.6173,background
4.1861,5.2225,background
7.7432,2.1433,background
6.7123,1.3962,background
3.3364,1.8847,background
8.9837,3.4414,background
7.6253,0.9681,background
2.7053,9.4732,background
3.6419,4.0499,background
3.1444,8.0897,background
1.5761,9.7442,background
1.4778,0.8074,background
9.3613,6.5167,background
4.379,8.7141,background
3.8332,6.3423,background
7.2969,4.2903,background
5.5299,4.3108,background
9.3614,0.359,background
7.803,5.346,background
4.7937,9.9354,background
3.7636,9.5871,background
9.8663,0.404,background
7.1776,7.058,background
9.5119,3.0176,background
1.1848,9.0299,background
8.5053,0.4511,background
6.3707,9.3587,background
1.2192,8.3748,background
5.8826,1.175,background
6.861,0.5982,background
0.123,8.3471,background
4.5432,1.5576,background
8.254,5.349,background
2.9536,9.1574,background
4.5855,5.6745,background
4.4231,3.9723,background
3.0193,4.4502,background
9.1844,0.6312,background
7.8129,9.6875,background
1.1059,3.1065,background
9.9703,1.8936,background
8.792,2.8605,background
2.8391,9.6437,background
8.369,0.9429,background
1.0642,8.673,background
9.991,7.0784,background
6.6568,8.3002,background
6.5013,9.759,background
0.9044,8.4215,background
8.9703,9.4338,background
0.29,1.2694,background
2.4083,7.9579,background
1.4302,5.4568,background
7.7677,5.435,background
1.982,8.9892,background
9.1064,9.718,background
6.5627,7.0484,background
0.3616,4.8294,background
0.0543,4.564,background
0.5166,3.8634,background
6.0593,3.616,background
8.0148,3.9151,background
2.3855,0.8975,background
8.4941,0.7744,background
0.5723,7.7987,background
8.0096,4.4607,background
9.278,9.3068,background
7.7211,6.1222,background
6.9812,0.3518,background
8.3798,1.5752,background
0.4015,2.0582,background
2.0178,9.7574,background
1.2492,2.187,background
5.0453,5.1576,background
7.4519,9.3618,background
6.3001,9.7719,background
8.5113,2.3636,background
1.5521,0.4912,background
7.3462,1.536,background
1.9304,0.6333,background
2.7076,1.9512,background
7.099,5.6857,background
9.802,9.1245,background
6.1154,5.3722,background
0.545,6.2599,background
6.1631,2.0187,background
0.4235,8.0058,background
8.8415,6.1779,background
7.0958,8.6414,background
1.7313,9.4884,background
0.9172,3.479,background
1.8353,0.9058,background
9.8003,2.2593,background
4.5856,4.3784,background
7.8408,9.4569,background
6.3641,3.7831,background
5.7241,7.7077,background
1.4513,5.4048,background
9.4602,1.8281,background
3.0134,3.2073,background
5.7802,6.5319,background
6.9978,6.7285,background
6.4923,4.3476,background
9.4059,2.2865,background
1.4844,7.2191,background
5.0835,1.6887,background
4.0403,9.3667,background
4.7417,1.879,background
1.1922,1.0731,background
1.3409,4.9765,background
2.7808,5.1955,background
3.047,5.0819,background
4.279,4.3667,background
6.1099,9.9481,background
6.3463,4.8628,background
4.1181,4.7795,background
4.0878,4.2177,background
2.1763,0.6683,background
5.8831,5.9296,background
3.1704,2.2797,background
0.3606,6.3761,background
4.184,0.5083,background
4.7413,9.8139,background
2.2559,4.6901,background
5.7246,8.9676,background
5.6577,4.7556,background
7.02,0.6033,background
6.4795,8.2221,background
6.5243,6.4818,background
3.1621,7.8176,background
7.8743,4.2817,background
5.4914,6.3794,background
4.3142,8.5623,background
6.2601,6.3107,background
3.6066,3.4767,background
5.1274,6.6253,background
7.3671,6.7185,background
8.864,9.6059,background
9.2106,3.7091,background
5.0363,4.2508,background
5.2028,8.1212,background
7.9987,5.0576,background
3.1445,7.3657,background
8.3738,4.5971,background
4.9414,2.155,background
1.1586,7.452,background
0.7206,1.3116,background
8.4199,1.9858,background
0.5557,6.2682,background
2.8061,7.4727,background
3.3413,8.9469,background
1.7299,2.7259,background
3.1389,1.1072,background
7.4269,9.5605,background
0.1468,1.5442,background
8.2717,1.9767,background
8.5655,2.9133,background
3.7226,5.2939,background
1.5361,8.8283,background
6.0084,7.6055,background
1.1967,7.0816,background
3.6492,1.7518,background
9.5843,3.5768,background
9.9546,4.784,background
7.721,1.4743,background
3.1096,2.7343,background
6.8767,3.0833,background
7.0541,1.2728,background
3.8784,5.5024,background
6.4089,7.0503,background
0.1073,0.6993,background
2.0906,4.8112,background
5.2509,7.8221,background
1.6375,7.4799,background
1.6591,8.1507,background
8.363,4.4824,background
9.8913,8.2056,background
5.5597,2.4075,background
8.3907,3.6081,background
9.9032,1.7636,background
1.416,4.6748,background
4.4825,3.9206,background
3.9257,2.4093,background
0.8005,7.5178,background
7.5533,3.1385,background
4.3378,2.728,background
4.6933,1.3089,background
1.5067,4.3882,background
1.8093,3.0296,background
9.071,3.6927,background
0.4465,2.36,background
2.3285,7.6316,background
2.9206,9.3,background
4.902,4.9793,background
5.8645,6.43,background
4.9329,8.6717,background
0.8412,9.9883,background
2.4367,6.1352,background
8.4359,8.8978,background
6.3759,9.0861,background
6.4915,7.9145,background
6.702,4.6093,background
7.629,0.8115,background
0.5811,0.1581,background
3.6661,4.772,background
5.3953,4.9431,background
3.3846,4.0736,background
8.4448,5.6817,background
4.8257,5.5216,background
7.6863,8.3661,background
8.5202,1.0866,background
5.0479,2.2518,background
9.0955,7.93,background
5.8712,8.4784,background
8.5027,9.9482,background
3.4059,8.7291,background
4.9882,8.899,background
5.3141,3.1435,background
1.0498,4.0166,background
3.9855,2.6809,background
9.1734,6.063,background
6.3083,9.3881,background
1.7751,3.4464,background
3.3886,5.57,background
1.916,2.963,background
0.2482,1.698,background
9.2746,1.9519,background
4.4821,0.5795,background
3.0754,9.4929,background
5.9848,4.0288,background
0.0731,8.3412,background
2.7802,6.8133,background
7.0303,1.9192,background
6.3377,1.7546,background
9.8181,8.1199,background
6.2036,2.6471,background
4.7751,9.1329,background
7.6143,1.4006,background
9.0333,6.7771,background
7.207,8.1447,background
9.6321,2.3526,background
7.8201,2.7621,background
8.668,9.6452,background
1.141,2.646,background
7.3241,4.2996,background
4.4009,4.3252,background
5.531,2.5303,background
6.541,7.7579,background
9.6982,7.7185,background
9.8458,3.7832,background
2.8823,8.3513,background
7.3375,2.1307,background
7.4998,0.0431,background
3.4649,5.7117,background
1.2387,9.9408,background
0.4095,0.3864,background
7.7734,2.08,background
4.897,5.1891,background
9.8554,8.0994,background
4.6497,0.8904,background
9.7792,3.9523,background
4.1158,7.4708,background
7.9368,3.7154,background
0.8482,1.8884,background
5.5546,1.955,background
8.0206,4.1005,background
9.247,4.7942,background
8.2258,8.6181,background
0.3697,6.4225,background
3.727,6.904,background
0.487,9.8299,background
1.0928,4.1184,background
6.7531,4.0335,background
7.1326,9.2335,background
7.7372,2.4588,background
8.6546,7.2982,background
7.3943,7.5457,background
8.0087,0.9779,background
0.4896,4.6823,background
2.3454,2.0056,background
6.219,1.8538,background
8.5813,4.6383,background
0.045,2.8943,background
5.1463,7.9606,background
6.7729,9.076,background
0.2961,8.0272,background
4.0136,2.6603,background
8.9563,2.7413,background
6.7161,2.5473,background
2.3766,1.3504,background
8.5278,9.438,background
3.4803,4.0205,background
8.5334,2.2469,background
2.9894,8.4667,background
5.9032,3.992,background
3.9694,0.3512,background
2.7483,1.6194,background
8.8656,6.3925,background
1.8759,7.8291,background
0.8481,2.1093,background
3.4193,9.174,background
7.1764,8.51,background
8.0743,8.4838,background
9.9874,2.2766,background
2.9636,0.5054,background
4.0794,8.6742,background
1.3682,3.058,background
5.7487,6.1892,background
9.9758,7.5997,background
7.0088,1.2829,background
5.9521,7.8084,background
3.9237,9.3851,background
9.153,7.2837,background
4.9692,4.4122,background
1.3437,8.7668,background
3.6538,5.2746,background
0.6717,7.4477,background
2.0198,8.2051,background
0.1767,7.4935,background
4.5328,2.8785,background
6.3454,1.1784,background
3.4329,2.3834,background
4.2038,5.0287,background
9.5921,5.0528,background
7.5196,5.8264,background
5.4086,3.951,background
2.8454,7.8689,background
8.97,9.1315,background
2.351,2.4673,background
3.2534,7.3652,background
9.0906,6.7797,background
5.2954,5.2309,background
7.4232,1.8853,background
5.9074,7.9523,background
6.5344,9.6063,background
2.9938,7.2184,background
2.4137,9.1786,background
3.2249,9.8419,background
1.5544,3.5205,background
8.7431,6.3822,background
2.8325,4.7393,background
5.6149,9.8663,background
7.9197,0.9381,background
7.8382,4.1237,background
4.3839,8.7554,background
4.7626,2.8405,background
9.947,7.8779,background
6.746,3.8278,background
8.1464,9.7998,background
9.0255,8.8353,background
7.8759,3.0132,background
1.8518,7.7019,background
5.6217,3.3686,background
1.0189,6.0636,background
6.5292,6.5848,background
9.5535,8.296,background
5.1273,0.2445,background
4.3297,2.2016,background
0.3584,7.1192,background
9.5977,5.6352,background
1.03,4.9561,background
0.4108,0.5521,background
2.4607,3.4828,background
0.6553,8.651,background
4.5512,0.3089,background
5.1609,3.9644,background
3.1257,9.4515,background
0.5096,0.5088,background
1.116,7.4971,background
3.845,2.5761,background
0.6053,8.6661,background
6.9819,7.4607,background
2.0702,8.8571,background
3.0207,2.1592,background
3.9413,5.3129,background
4.1661,7.7927,background
0.0166,2.457,background
1.1207,2.3075,background
8.6276,0.2718,background
0.0123,9.5852,background
5.0817,7.1002,background
4.895,6.3556,background
3.3309,7.4399,background
4.3133,5.3161,background
7.8058,4.7613,background
8.412,4.4953,background
2.6035,6.4044,background
3.2249,2.0153,background
2.4248,8.8806,background
4.7986,8.1175,background
6.8326,3.4956,background
2.2825,5.7861,background
3.3074,1.4103,background
9.3038,9.7235,background
0.4857,9.0289,background
4.6077,9.219,background
7.1156,3.3216,background
1.5045,1.6913,background
0.4737,2.1177,background
1.3821,0.9,background
9.1882,1.2011,background
0.0926,0.713,background
1.8832,9.8982,background
0.3128,0.7406,background
1.1063,1.3254,background
6.2015,8.2725,background
2.4164,5.8024,background
5.6921,7.7442,background
5.902,6.3091,background
8.4944,8.8218,background
0.0474,6.3847,background
8.5337,5.2213,background
6.1912,7.1275,background
1.6274,4.4739,background
7.7294,3.4606,background
8.5549,4.6765,background
2.5426,1.6971,background
9.1879,7.9657,background
4.5446,2.607,background
6.0342,1.5353,background
9.8465,2.4635,background
3.6154,8.4207,background
8.1316,3.302,background
3.184,6.8605,background
7.9921,8.5641,background
6.0073,0.7774,background
2.1636,7.6502,background
4.1403,3.0767,background
3.1764,2.1662,background
0.7811,6.889,background
0.2983,9.098,background
3.4648,2.9502,background
0.1903,5.6883,background
1.6549,2.8983,background
7.2518,5.5429,background
7.0809,6.2186,background
7.3858,6.1034,background
3.1715,6.2355,background
8.9002,1.3508,background
5.9383,6.9354,background
1.2603,6.7475,background
1.4372,6.8259,background
6.931,0.7407,background
1.7294,4.4684,background
5.0729,4.0904,background
9.9177,0.8671,background
0.0401,2.2237,background
0.1658,4.4096,background
9.9308,7.4291,background
5.8464,2.3706,background
1.2691,8.2975,background
8.973,5.458,background
8.8038,7.6042,background
5.362,4.7256,background
6.2179,4.9919,background
2.7319,6.1972,background
0.5052,9.2797,background
5.9457,4.9181,background
2.9476,5.2866,background
6.6362,6.02,background
8.3625,7.3752,background
0.1816,0.7185,background
5.9571,5.1569,background
2.3128,4.8159,background
8.7389,9.2168,background
2.5366,4.9351,background
6.1077,4.6832,background
5.5354,9.622,background
3.9617,4.5058,background
6.7762,1.8088,background
7.2577,2.1692,background
5.6694,0.9519,background
7.5842,0.0057,background
9.8342,4.3195,background
4.1927,7.6924,background
5.1458,7.3347,background
0.1247,0.3215,background
7.9603,5.6998,background
5.2023,1.5428,background
4.0796,9.4108,background
0.9407,1.6736,background
8.8966,6.2664,background
3.9501,3.2624,background
6.8258,6.4156,background
1.4937,4.1226,background
9.6155,7.5964,background
1.7844,2.3068,background
1.9954,9.0579,background
8.5898,5.0021,background
9.1258,7.5609,background
2.1215,8.4973,background
4.698,9.9883,background
7.3349,2.2395,background
8.7837,2.8689,background
3.7905,2.5043,background
5.1702,2.6287,background
7.4172,5.8244,background
7.3114,9.9352,background
7.8296,9.9028,background
5.6993,5.2677,background
1.0462,6.3903,background
9.0397,8.5997,background
8.6557,9.3293,background
7.981,2.0386,background
0.9986,5.2854,background
2.044,8.3284,background
7.436,3.032,background
0.2314,4.3981,background
9.7922,9.8562,background
3.7714,9.8505,background
7.1931,9.0611,background
8.8757,7.9845,background
3.9463,2.6913,background
3.1913,3.2085,background
6.0874,5.4728,background
5.8099,5.6078,background
4.0914,5.055,background
6.0177,6.3667,background
9.3538,4.0832,background
4.6764,7.4917,background
1.9674,3.3355,background
3.7721,3.3068,background
3.9411,1.2723,background
1.3111,1.8871,background
1.6287,8.5052,background
6.8456,4.4628,background
3.3948,2.2787,background
9.549,7.5934,background
2.436,5.5398,background
0.9892,0.2116,background
7.535,3.1636,background
8.8104,1.77,background
2.7811,6.5587,background
2.0209,2.7503,background
1.8577,0.6495,background
5.2201,0.5493,background
4.6842,5.8173,background
2.5944,0.2172,background
0.4517,8.4879,background
4.8149,1.554,background
9.5933,6.0657,background
6.5252,4.4469,background
4.9551,4.4285,background
1.1069,0.718,background
2.5244,8.0275,background
2.9477,8.9305,background
7.648,0.1102,background
8.7671,1.786,background
9.0164,9.039,background
9.8457,5.4949,background
9.8237,1.5004,background
9.53,2.0279,background
0.7182,6.5999,background
1.3779,7.2482,background
3.0447,5.9943,background
5.529,9.5315,background
0.9698,4.9406,background
8.458,3.0027,background
6.1676,4.7723,background
5.4236,3.5967,background
1.6531,2.2442,background
2.5326,0.4596,background
1.6031,3.5221,background
8.5193,7.1141,background
5.8423,0.1844,background
7.3513,4.3918,background
2.9603,6.4401,background
3.7125,6.104,background
4.0485,7.7665,background
7.6001,8.1052,background
7.7235,7.1171,background
2.0681,1.028,background
9.4154,4.7502,background
1.2066,6.0341,background
8.9612,2.4557,background
1.004,0.4255,background
2.6454,2.2359,background
8.4648,4.5489,background
1.7949,4.1393,background
4.1357,1.7667,background
4.4986,8.2442,background
2.4526,9.2569,background
7.1025,2.0135,background
8.5133,9.2957,background
8.7458,0.1786,background
3.3932,9.2496,background
5.3085,9.5193,background
2.4841,0.1205,background
2.448,7.6302,background
1.6125,9.702,background
9.4002,9.059,background
8.8799,9.7071,background
7.7736,5.5032,background
5.1766,0.7816,background
4.9061,8.4979,background
5.2975,6.1383,background
5.3657,6.1474,background
4.3456,4.1725,background
1.3175,5.7184,background
1.2566,1.5358,background
9.5225,7.3977,background
4.8203,0.7502,background
9.5321,7.2978,background
1.6358,8.4898,background
5.5442,4.7247,background
2.0772,5.0983,background
2.5318,3.1221,background
0.3005,9.6946,background
1.1895,7.3312,background
9.1685,3.6899,background
3.2153,1.7481,background
6.0813,2.1958,background
4.6501,4.6392,background
4.0045,9.4257,background
5.3189,7.3415,background
1.8724,2.1524,background
9.886,8.5956,background
8.1831,3.782,background
7.4161,8.5172,background
4.6876,2.417,background
1.5288,6.1866,background
9.2067,9.2667,background
3.4139,2.5789,background
0.5011,6.9293,background
3.424,9.8731,background
7.9446,1.506,background
6.2271,0.884,background
7.5084,6.742,background
7.9364,3.3974,background
2.1195,0.7124,background
9.2378,4.7531,background
4.3799,7.5377,background
6.3901,2.8512,background
0.0231,3.3505,background
9.9337,8.457,background
2.809,5.2007,background
4.9755,3.9819,population_1
6.9081,5.5312,population_1
4.7973,5.1138,population_1
5.7136,5.1844,population_1
5.4139,6.9509,population_1
6.1643,3.7309,population_1
5.3595,4.9726,population_1
5.7291,5.3044,population_1
5.7639,4.2637,population_1
5.2656,5.0283,population_1
6.4851,3.4001,population_1
6.2384,6.4099,population_1
5.9114,4.3184,population_1
5.5695,7.0314,population_1
6.7965,4.9675,population_1
5.7642,6.0281,population_1
5.6933,4.9467,population_1
6.1047,4.9693,population_1
7.6966,4.416,population_1
4.6596,5.1191,population_1
6.7699,5.318,population_1
4.1068,4.2157,population_1
6.2173,4.875,population_1
7.5751,4.3899,population_1
6.4887,7.2997,population_1
6.1706,4.9103,population_1
5.4396,6.5452,population_1
6.031,4.8044,population_1
5.7479,5.2593,population_1
5.214,3.6786,population_1
5.7101,4.5529,population_1
6.1984,5.2105,population_1
5.2328,6.586,population_1
5.1937,5.222,population_1
4.6398,6.3837,population_1
6.3907,5.6407,population_1
6.5453,6.6274,population_1
6.2317,4.941,population_1
6.9652,7.3902,population_1
6.0879,4.5146,population_1
6.392,4.2335,population_1
6.3038,3.7899,population_1
5.9085,7.331,population_1
5.4692,5.8194,population_1
8.2142,4.6659,population_1
5.548,6.249,population_1
5.3341,5.6877,population_1
6.434,6.9661,population_1
6.2519,3.4522,population_1
4.5952,4.7346,population_1
7.1227,4.5375,population_1
5.9058,3.0263,population_1
4.8891,6.0603,population_1
7.1888,4.7296,population_1
6.6257,5.7396,population_1
4.7355,7.3598,population_1
7.7772,4.6468,population_1
6.6588,4.5788,population_1
5.9898,5.1187,population_1
7.5902,5.9872,population_1
6.1593,4.4333,population_1
5.9719,4.369,population_1
5.3397,6.0572,population_1
6.5819,5.3786,population_1
6.4766,2.9553,population_1
6.0147,3.7746,population_1
5.21,6.5012,population_1
6.1299,5.4019,population_1
5.9302,4.2378,population_1
4.6665,4.8296,population_1
4.5282,5.0132,population_1
6.5652,5.7357,population_1
3.3981,3.6417,population_1
6.2054,4.1591,population_1
5.5219,5.273,population_1
7.3082,4.9002,population_1
5.5065,5.5719,population_1
6.6595,3.7705,population_1
5.6031,5.3571,population_1
6.1137,6.0916,population_1
6.7368,5.4868,population_1
5.5374,5.1391,population_1
6.9966,4.9041,population_1
5.0063,4.1651,population_1
6.2946,4.928,population_1
6.9226,6.2597,population_1
6.66,4.881,population_1
7.9164,4.1102,population_1
5.2366,4.5078,population_1
4.6209,5.2009,population_1
5.0057,4.6265,population_1
6.6604,5.4853,population_1
6.4979,5.5228,population_1
6.1023,5.889,population_1
4.877,6.4236,population_1
6.7669,5.9959,population_1
4.7753,4.0658,population_1
7.1589,4.0965,population_1
8.8574,4.9242,population_1
6.3665,4.5488,population_1
6.5831,3.8617,population_1
5.5071,4.5583,population_1
4.1898,4.5255,population_1
5.3973,4.3282,population_1
4.9071,4.6842,population_1
4.553,6.1785,population_1
7.7224,5.1992,population_1
6.2729,7.4718,population_1
6.3797,5.1705,population_1
5.691,4.7099,population_1
5.8271,5.0041,population_1
6.9646,5.2565,population_1
5.9677,5.4353,population_1
6.5307,7.0767,population_1
5.804,4.1547,population_1
5.6578,5.859,population_1
4.5931,5.2078,population_1
4.0223,3.4289,population_1
5.7384,5.7707,population_1
6.0565,6.2676,population_1
4.7139,4.1428,population_1
5.9655,4.9911,population_1
6.0538,3.2746,population_1
3.844,3.7412,population_1
5.0849,6.048,population_1
6.4073,4.5336,population_1
6.3871,3.8912,population_1
4.8463,5.2295,population_1
6.1584,4.4776,population_1
7.0224,4.5292,population_1
6.7771,5.7393,population_1
5.9047,3.8383,population_1
5.532,4.0946,population_1
5.3707,5.1541,population_1
6.4678,5.9694,population_1
6.1951,6.2382,population_1
6.6294,4.3349,population_1
6.1319,5.9374,population_1
6.8188,4.2159,population_1
6.0946,6.8262,population_1
6.7847,3.8662,population_1
6.8708,6.3285,population_1
5.1955,4.3435,population_1
4.1919,7.0132,population_1
7.5435,5.5913,population_1
6.2567,3.984,population_1
4.2855,4.4778,population_1
5.2862,5.7812,population_1
6.7719,6.0526,population_1
5.7203,4.9293,population_1
5.4879,5.0447,population_1
7.4009,5.7584,population_1
4.9527,5.1318,population_1
5.2018,3.7065,population_1
6.2114,4.187,population_1
6.3905,5.2351,population_1
6.4963,6.2155,population_1
6.9112,6.616,population_1
6.1986,5.7795,population_1
